10000[16]00000000[01]008010000002048000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000[04]4c[17]
60 [16]00000000[01]003000001[04]39[17]
20 [16]00000000[01]0040100000[02]Girls 200m Medley                    [04]8C[17]
80 [16]00000000[01]0040101100[02]   16.0 [04]B3[17]
80 [16]00000000[01]0040101100[02]   16.1 [04]B4[17]
130 [16]00000000[01]0040101100[02]   16.2 [04]B5[17]
90 [16]00000000[01]0040101100[02]   16.3 [04]B6[17]
90 [16]00000000[01]0040101100[02]   16.4 [04]B7[17]
130 [16]00000000[01]0040101100[02]   16.5 [04]B8[17]
80 [16]00000000[01]0040101100[02]   16.6 [04]B9[17]
110 [16]00000000[01]0040101100[02]   16.7 [04]BA[17]
90 [16]00000000[01]0040101100[02]   16.8 [04]BB[17]
90 [16]00000000[01]0040101100[02]   16.9 [04]BC[17]
110 [16]00000000[01]0040101100[02]   17.0 [04]B4[17]
80 [16]00000000[01]0040101100[02]   17.1 [04]B5[17]
110 [16]00000000[01]0040101100[02]   17.2 [04]B6[17]
110 [16]00000000[01]0040101100[02]   17.3 [04]B7[17]
110 [16]00000000[01]0040101100[02]   17.4 [04]B8[17]
90 [16]00000000[01]0040101100[02]   17.5 [04]B9[17]
80 [16]00000000[01]0040101100[02]   17.6 [04]BA[17]
110 [16]00000000[01]0040101100[02]   17.7 [04]BB[17]
110 [16]00000000[01]0040101100[02]   17.8 [04]BC[17]
90 [16]00000000[01]0040101100[02]   17.9 [04]BD[17]
110 [16]00000000[01]0040101100[02]   18.0 [04]B5[17]
100 [16]00000000[01]0040101100[02]   18.1 [04]B6[17]
110 [16]00000000[01]0040101100[02]   18.2 [04]B7[17]
90 [16]00000000[01]0040101100[02]   18.3 [04]B8[17]
90 [16]00000000[01]0040101100[02]   18.4 [04]B9[17]
90 [16]00000000[01]0040101100[02]   18.5 [04]BA[17]
90 [16]00000000[01]0040101100[02]   18.6 [04]BB[17]
130 [16]00000000[01]0040101100[02]   18.7 [04]BC[17]
90 [16]00000000[01]0040101100[02]   18.8 [04]BD[17]
90 [16]00000000[01]0040101100[02]   18.9 [04]BE[17]
110 [16]00000000[01]0040101100[02]   19.0 [04]B6[17]
80 [16]00000000[01]0040101100[02]   19.1 [04]B7[17]
110 [16]00000000[01]0040101100[02]   19.2 [04]B8[17]
100 [16]00000000[01]0040101100[02]   19.3 [04]B9[17]
110 [16]00000000[01]0040101100[02]   19.4 [04]BA[17]
90 [16]00000000[01]0040101100[02]   19.5 [04]BB[17]
90 [16]00000000[01]0040101100[02]   19.6 [04]BC[17]
110 [16]00000000[01]0040101100[02]   19.7 [04]BD[17]
110 [16]00000000[01]0040101100[02]   19.8 [04]BE[17]
90 [16]00000000[01]0040101100[02]   19.9 [04]BF[17]
90 [16]00000000[01]0040101100[02]   20.0 [04]AE[17]
100 [16]00000000[01]0040101100[02]   20.1 [04]AF[17]
110 [16]00000000[01]0040101100[02]   20.2 [04]B0[17]
110 [16]00000000[01]0040101100[02]   20.3 [04]B1[17]
90 [16]00000000[01]0040101100[02]   20.4 [04]B2[17]
90 [16]00000000[01]0040101100[02]   20.5 [04]B3[17]
110 [16]00000000[01]0040101100[02]   20.6 [04]B4[17]
90 [16]00000000[01]0040101100[02]   20.7 [04]B5[17]
90 [16]00000000[01]0040101100[02]   20.8 [04]B6[17]
130 [16]00000000[01]0040101100[02]   20.9 [04]B7[17]
90 [16]00000000[01]0040101100[02]   21.0 [04]AF[17]
90 [16]00000000[01]0040101100[02]   21.1 [04]B0[17]
90 [16]00000000[01]0040101100[02]   21.2 [04]B1[17]
110 [16]00000000[01]0040101100[02]   21.3 [04]B2[17]
90 [16]00000000[01]0040101100[02]   21.4 [04]B3[17]
90 [16]00000000[01]0040101100[02]   21.5 [04]B4[17]
100 [16]00000000[01]0040101100[02]   21.6 [04]B5[17]
130 [16]00000000[01]0040101100[02]   21.7 [04]B6[17]
90 [16]00000000[01]0040101100[02]   21.8 [04]B7[17]
90 [16]00000000[01]0040101100[02]   21.9 [04]B8[17]
90 [16]00000000[01]0040101100[02]   22.0 [04]B0[17]
110 [16]00000000[01]0040101100[02]   22.1 [04]B1[17]
90 [16]00000000[01]0040101100[02]   22.2 [04]B2[17]
100 [16]00000000[01]0040101100[02]   22.3 [04]B3[17]
100 [16]00000000[01]0040101100[02]   22.4 [04]B4[17]
110 [16]00000000[01]0040101100[02]   22.5 [04]B5[17]
110 [16]00000000[01]0040101100[02]   22.6 [04]B6[17]
90 [16]00000000[01]0040101100[02]   22.7 [04]B7[17]
90 [16]00000000[01]0040101100[02]   22.8 [04]B8[17]
110 [16]00000000[01]0040101100[02]   22.9 [04]B9[17]
90 [16]00000000[01]0040101100[02]   23.0 [04]B1[17]
90 [16]00000000[01]0040101100[02]   23.1 [04]B2[17]
90 [16]00000000[01]0040101100[02]   23.2 [04]B3[17]
